Collisions_CONTRIBUTING FACTOR VEHICLE 1,Collisions_VEHICLE TYPE CODE 1,Collisions_VEHICLE TYPE CODE 2,Collisions_VEHICLE TYPE CODE 3,Arrests_PD_DESC,Arrests_AGE_GROUP,Arrests_PERP_SEX,Arrests_PERP_RACE,Complaint_LAW_CAT_CD,Complaint_PD_DESC,Complaint_PREM_TYP_DESC,Complaint_SUSP_AGE_GROUP,Complaint_SUSP_RACE,Complaint_SUSP_SEX,Complaint_VIC_AGE_GROUP,Complaint_VIC_RACE,Complaint_VIC_SEX,Shooting_LOCATION_DESC,Shooting_STATISTICAL_MURDER_FLAG,Shooting_PERP_AGE_GROUP,Shooting_PERP_SEX,Shooting_PERP_RACE,Shooting_VIC_AGE_GROUP,Shooting_VIC_SEX,Shooting_VIC_RACE,sector index
Driver Inattention/Distraction,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,"STOLEN PROPERTY 3,POSSESSION",<18,M,WHITE,,,,,,,,,,,,,,,,,,225
Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",25-44,M,WHITE,MISDEMEANOR,"SEXUAL ABUSE 3,2",RESIDENCE-HOUSE,25-44,UNKNOWN,M,<18,WHITE,F,,,,,,,,,226
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,ASSAULT 3,25-44,M,WHITE,FELONY,"LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT",RESIDENCE-HOUSE,(null),(null),(null),65+,WHITE,M,,,,,,,,,227
Driver Inattention/Distraction,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,"TRAFFIC,UNCLASSIFIED MISDEMEAN",25-44,M,WHITE,,,,,,,,,,,,,,,,,,228
Lost Consciousness,Station Wagon/Sport Utility Vehicle,Sedan,,,,,,,,,,,,,,,,,,,,,,,229
Driver Inattention/Distraction,Sedan,Sedan,,"LARCENY,GRAND OF AUTO",18-24,M,WHITE,,,,,,,,,,,,,,,,,,230
Driver Inattention/Distraction,Sedan,Sedan,PICK-UP TRUCK,"CONTROLLED SUBSTANCE, POSSESSION 7",25-44,M,WHITE,,,,,,,,,,,,,,,,,,231
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,Sedan,"CONTROLLED SUBSTANCE, POSSESSION 7",25-44,M,WHITE,,,,,,,,,,,,,,,,,,232
Driver Inattention/Distraction,Sedan,UNKNOWN,Station Wagon/Sport Utility Vehicle,"MARIJUANA, POSSESSION 4 & 5",18-24,M,WHITE,,,,,,,,,,,,,,,,,,233
Unsafe Speed,PASSENGER VEHICLE,Sedan,,"INTOXICATED DRIVING,ALCOHOL",25-44,M,WHITE,,,,,,,,,,,,,,,,,,301
Driver Inattention/Distraction,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,"INTOXICATED DRIVING,ALCOHOL",25-44,M,WHITE,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE",RESIDENCE-HOUSE,45-64,WHITE,F,45-64,WHITE,M,,,,,,,,,302
Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,PASSENGER VEHICLE,PASSENGER VEHICLE,"TRAFFIC,UNCLASSIFIED MISDEMEAN",25-44,M,WHITE,,,,,,,,,,,,,,,,,,303
Driver Inattention/Distraction,Sedan,Sedan,Sedan,ASSAULT 3,25-44,M,WHITE,,,,,,,,,,,,,,,,,,304
Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,"ROBBERY,UNCLASSIFIED,OPEN AREAS",<18,M,BLACK,,,,,,,,,,,,,,,,,,305
Driver Inattention/Distraction,PASSENGER VEHICLE,Sedan,Sedan,"CONTROLLED SUBSTANCE, POSSESSION 7",25-44,M,WHITE,,,,,,,,,,,,,,,,,,306
Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,"CONTROLLED SUBSTANCE, POSSESSION 7",25-44,M,WHITE,FELONY,"LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT",RESIDENCE-HOUSE,(null),(null),(null),25-44,WHITE,M,,,,,,,,,307
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,Sedan,"CONTROLLED SUBSTANCE, POSSESSION 7",25-44,M,WHITE,,,,,,,,,,,,,,,,,,308
Backing Unsafely,Station Wagon/Sport Utility Vehicle,Sedan,,"TRAFFIC,UNCLASSIFIED INFRACTIO",18-24,M,WHITE,,,,,,,,,,,,,,,,,,309
Unspecified,UNKNOWN,SPORT UTILITY / STATION WAGON,,"PUBLIC ADMINISTRATION,UNCLASSI",45-64,M,WHITE,,,,,,,,,,,,,,,,,,310
Driver Inattention/Distraction,PASSENGER VEHICLE,Sedan,Sedan,"INTOXICATED DRIVING,ALCOHOL",25-44,M,WHITE,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE",OTHER,25-44,WHITE,M,45-64,BLACK,M,,,,,,,,,377
Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,PASSENGER VEHICLE,"TRAFFIC,UNCLASSIFIED MISDEMEAN",25-44,M,WHITE,,,,,,,,,,,,,,,,,,378
Driver Inattention/Distraction,Sedan,Sedan,Sedan,"INTOXICATED DRIVING,ALCOHOL",25-44,M,WHITE,,,,,,,,,,,,,,,,,,379
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,Sedan,"CONTROLLED SUBSTANCE, POSSESSION 7",25-44,M,WHITE,,,,,,,,,,,,,,,,,,380
Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,"CONTROLLED SUBSTANCE, POSSESSION 7",25-44,M,WHITE,,,,,,,,,,,,,,,,,,381
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,"CONTROLLED SUBSTANCE, POSSESSION 7",25-44,M,WHITE,FELONY,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE-HOUSE,UNKNOWN,UNKNOWN,U,45-64,WHITE,M,,,,,,,,,382
Alcohol Involvement,PASSENGER VEHICLE,PASSENGER VEHICLE,,"CONTROLLED SUBSTANCE, POSSESSION 7",25-44,M,WHITE,,,,,,,,,,,,,,,,,,383
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,"TRAFFIC,UNCLASSIFIED MISDEMEAN",25-44,M,WHITE,,,,,,,,,,,,,,,,,,384
Driver Inattention/Distraction,PASSENGER VEHICLE,Sedan,SPORT UTILITY / STATION WAGON,"CONTROLLED SUBSTANCE, POSSESSION 7",25-44,M,WHITE,,,,,,,,,,,,,,,,,,385
Other Vehicular,Sedan,PASSENGER VEHICLE,,"MARIJUANA, POSSESSION 4 & 5",45-64,M,WHITE,,,,,,,,,,,,,,,,,,386
Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,PASSENGER VEHICLE,,ASSAULT 3,18-24,M,WHITE,,,,,,,,,,,,,,,,,,387
Failure to Yield Right-of-Way,PASSENGER VEHICLE,Sedan,,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",25-44,M,WHITE,,,,,,,,,,,,,,,,,,452
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,Sedan,"TRAFFIC,UNCLASSIFIED MISDEMEAN",25-44,M,WHITE,,,,,,,,,,,,,,,,,,453
Driver Inattention/Distraction,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,"CONTROLLED SUBSTANCE, POSSESSION 7",25-44,M,WHITE,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE",RESIDENCE-HOUSE,UNKNOWN,UNKNOWN,U,25-44,WHITE,M,,,,,,,,,454
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,Station Wagon/Sport Utility Vehicle,"CONTROLLED SUBSTANCE, POSSESSION 7",25-44,M,WHITE,MISDEMEANOR,AGGRAVATED HARASSMENT 2,RESIDENCE-HOUSE,(null),(null),(null),45-64,WHITE,M,,,,,,,,,455
Driver Inattention/Distraction,Sedan,PASSENGER VEHICLE,Station Wagon/Sport Utility Vehicle,"INTOXICATED DRIVING,ALCOHOL",25-44,M,WHITE,,,,,,,,,,,,,,,,,,456
Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,PASSENGER VEHICLE,PASSENGER VEHICLE,"CONTROLLED SUBSTANCE, POSSESSION 7",25-44,M,WHITE,MISDEMEANOR,"FRAUD,UNCLASSIFIED-MISDEMEANOR",RESIDENCE - APT. HOUSE,(null),(null),(null),45-64,WHITE,M,,,,,,,,,457
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,"CONTROLLED SUBSTANCE, POSSESSION 7",25-44,M,WHITE,VIOLATION,"HARASSMENT,SUBD 3,4,5",RESIDENCE-HOUSE,(null),(null),(null),65+,WHITE,M,,,,,,,,,458
Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Sedan,PASSENGER VEHICLE,"TRAFFIC,UNCLASSIFIED MISDEMEAN",<18,M,WHITE,,,,,,,,,,PVT HOUSE,FALSE,25-44,M,WHITE,<18,M,WHITE,459
Driver Inattention/Distraction,PASSENGER VEHICLE,Station Wagon/Sport Utility Vehicle,,"TRAFFIC,UNCLASSIFIED MISDEMEANOR",25-44,M,WHITE,,,,,,,,,,,,,,,,,,460
Driver Inattention/Distraction,Sedan,Sedan,PASSENGER VEHICLE,"CONTROLLED SUBSTANCE, POSSESSION 7",25-44,M,WHITE,MISDEMEANOR,OBSTR BREATH/CIRCUL,RESIDENCE-HOUSE,25-44,WHITE,M,25-44,WHITE,F,,,,,,,,,461
Driver Inattention/Distraction,PASSENGER VEHICLE,Sedan,Station Wagon/Sport Utility Vehicle,"INTOXICATED DRIVING,ALCOHOL",25-44,M,WHITE,,,,,,,,,,,,,,,,,,462
Driver Inattention/Distraction,Sedan,PASSENGER VEHICLE,Sedan,"INTOXICATED DRIVING,ALCOHOL",25-44,M,WHITE,,,,,,,,,,,,,,,,,,463
Driver Inattention/Distraction,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,"INTOXICATED DRIVING,ALCOHOL",25-44,M,WHITE,FELONY,"LARCENY,GRAND OF AUTO",PARKING LOT/GARAGE (PRIVATE),UNKNOWN,UNKNOWN,U,UNKNOWN,UNKNOWN,D,,,,,,,,,527
Driver Inattention/Distraction,PASSENGER VEHICLE,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",25-44,M,WHITE,,,,,,,,,,,,,,,,,,528
Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,"INTOXICATED DRIVING,ALCOHOL",25-44,M,WHITE,,,,,,,,,,,,,,,,,,529
Driver Inattention/Distraction,Sedan,PASSENGER VEHICLE,Sedan,"CONTROLLED SUBSTANCE, POSSESSION 7",25-44,M,WHITE,FELONY,"LARCENY,GRAND FROM RESIDENCE/BUILDING,UNATTENDED, PACKAGE THEFT OUTSIDE",RESIDENCE-HOUSE,65+,WHITE,F,45-64,WHITE,M,,,,,,,,,530
Driver Inattention/Distraction,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,ASSAULT 3,25-44,M,WHITE,MISDEMEANOR,"FRAUD,UNCLASSIFIED-MISDEMEANOR",RESIDENCE-HOUSE,(null),(null),(null),25-44,WHITE,M,,,,,,,,,531
Driver Inattention/Distraction,PASSENGER VEHICLE,Sedan,Sedan,"CONTROLLED SUBSTANCE, POSSESSION 7",25-44,M,WHITE,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE",STREET,UNKNOWN,UNKNOWN,U,25-44,WHITE,M,,,,,,,,,532
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,Sedan,"CONTROLLED SUBSTANCE, POSSESSION 7",25-44,M,WHITE,MISDEMEANOR,"CRIMINAL MISCHIEF 4TH, GRAFFIT",STREET,(null),(null),(null),UNKNOWN,UNKNOWN,E,,,,,,,,,533
Driver Inattention/Distraction,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,ASSAULT 3,18-24,M,WHITE,,,,,,,,,,,,,,,,,,534
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,Sedan,"INTOXICATED DRIVING,ALCOHOL",25-44,M,WHITE,FELONY,"CONTROLLED SUBSTANCE,SALE 3",STREET,(null),(null),(null),UNKNOWN,UNKNOWN,E,,,,,,,,,535
Driver Inattention/Distraction,Sedan,PASSENGER VEHICLE,Pick-up Truck,"INTOXICATED DRIVING,ALCOHOL",25-44,M,WHITE,,,,,,,,,,,,,,,,,,536
Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,PASSENGER VEHICLE,"TRAFFIC,UNCLASSIFIED MISDEMEAN",25-44,M,WHITE,FELONY,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE-HOUSE,(null),(null),(null),65+,WHITE,F,,,,,,,,,537
Failure to Yield Right-of-Way,PASSENGER VEHICLE,PASSENGER VEHICLE,Sedan,"CONTROLLED SUBSTANCE, POSSESSION 7",25-44,M,WHITE,FELONY,"LARCENY,GRAND BY OPEN BANK ACCT",RESIDENCE-HOUSE,25-44,WHITE,M,45-64,WHITE,F,,,,,,,,,538
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,Sedan,ASSAULT 3,25-44,M,WHITE,FELONY,"LARCENY,GRAND BY CREDIT CARD ACCT COMPROMISE-EXISTING ACCT",RESIDENCE-HOUSE,(null),(null),(null),45-64,ASIAN / PACIFIC ISLANDER,M,,,,,,,,,539
Backing Unsafely,PASSENGER VEHICLE,Pick-up Truck,,RESISTING ARREST,18-24,M,WHITE,,,,,,,,,,,,,,,,,,540
Driver Inattention/Distraction,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,"INTOXICATED DRIVING,ALCOHOL",25-44,M,WHITE,FELONY,"LARCENY,GRAND OF VEHICULAR/MOTORCYCLE ACCESSORIES",STREET,(null),(null),(null),UNKNOWN,UNKNOWN,D,,,,,,,,,602
Pavement Slippery,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,"INTOXICATED DRIVING,ALCOHOL",25-44,M,WHITE,,,,,,,,,,,,,,,,,,603
Driver Inattention/Distraction,PASSENGER VEHICLE,Sedan,Sedan,"INTOXICATED DRIVING,ALCOHOL",25-44,M,WHITE,,,,,,,,,,,,,,,,,,604
Driver Inattention/Distraction,Sedan,PASSENGER VEHICLE,PASSENGER VEHICLE,"STOLEN PROPERTY 3,POSSESSION",25-44,M,WHITE,VIOLATION,"HARASSMENT,SUBD 3,4,5",RESIDENCE-HOUSE,25-44,WHITE,F,25-44,WHITE,F,,TRUE,65+,M,WHITE,65+,F,WHITE,605
Driver Inattention/Distraction,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,"CONTROLLED SUBSTANCE, POSSESSION 7",25-44,M,WHITE,FELONY,"LARCENY,GRAND BY CREDIT CARD ACCT COMPROMISE-EXISTING ACCT",RESIDENCE-HOUSE,UNKNOWN,UNKNOWN,U,45-64,WHITE,F,,,,,,,,,606
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,Station Wagon/Sport Utility Vehicle,"CONTROLLED SUBSTANCE, POSSESSION 7",18-24,M,WHITE,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT OUTSIDE",RESIDENCE-HOUSE,UNKNOWN,UNKNOWN,U,25-44,WHITE,M,,,,,,,,,607
Driver Inattention/Distraction,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,"CONTROLLED SUBSTANCE, POSSESSION 7",25-44,M,WHITE,,,,,,,,,,,,,,,,,,608
Driver Inattention/Distraction,Sedan,Sedan,Sedan,"TRAFFIC,UNCLASSIFIED MISDEMEAN",25-44,M,WHITE,,,,,,,,,,,,,,,,,,609
Driver Inattention/Distraction,Sedan,Station Wagon/Sport Utility Vehicle,PASSENGER VEHICLE,"CONTROLLED SUBSTANCE, POSSESSION 7",25-44,M,WHITE,,,,,,,,,,,,,,,,,,610
Driver Inattention/Distraction,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,"INTOXICATED DRIVING,ALCOHOL",25-44,M,WHITE,,,,,,,,,,,FALSE,25-44,M,WHITE,25-44,M,WHITE,611
Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,"TRAFFIC,UNCLASSIFIED MISDEMEAN",25-44,M,WHITE,FELONY,"LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT",RESIDENCE-HOUSE,(null),(null),(null),45-64,WHITE,F,,,,,,,,,612
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,Sedan,"CONTROLLED SUBSTANCE, POSSESSION 7",25-44,M,WHITE,,,,,,,,,,,,,,,,,,613
Driver Inattention/Distraction,Sedan,PASSENGER VEHICLE,Station Wagon/Sport Utility Vehicle,ASSAULT 3,25-44,M,WHITE,VIOLATION,"HARASSMENT,SUBD 3,4,5",RESIDENCE-HOUSE,25-44,WHITE,F,25-44,WHITE,M,,,,,,,,,614
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,ASSAULT 3,25-44,M,WHITE,MISDEMEANOR,"CRIMINAL MISCHIEF 4TH, GRAFFIT",CONSTRUCTION SITE,UNKNOWN,UNKNOWN,U,UNKNOWN,UNKNOWN,D,,,,,,,,,615
Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,"INTOXICATED DRIVING,ALCOHOL",25-44,M,WHITE,,,,,,,,,,,FALSE,25-44,M,BLACK HISPANIC,18-24,M,WHITE HISPANIC,678
Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,"TRAFFIC,UNCLASSIFIED MISDEMEAN",25-44,M,WHITE,,,,,,,,,,,,,,,,,,679
Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Sedan,SPORT UTILITY / STATION WAGON,"INTOXICATED DRIVING,ALCOHOL",25-44,M,WHITE,FELONY,"LARCENY,GRAND BY IDENTITY THEFT-UNCLASSIFIED",RESIDENCE-HOUSE,(null),(null),(null),25-44,WHITE,M,,,,,,,,,680
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,"CONTROLLED SUBSTANCE, POSSESSION 7",25-44,M,WHITE,MISDEMEANOR,AGGRAVATED HARASSMENT 2,RESIDENCE-HOUSE,UNKNOWN,UNKNOWN,U,25-44,WHITE,F,PVT HOUSE,FALSE,25-44,M,WHITE,25-44,M,WHITE HISPANIC,681
Driver Inattention/Distraction,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,"CONTROLLED SUBSTANCE, POSSESSION 7",25-44,M,WHITE,,,,,,,,,,MULTI DWELL - APT BUILD,FALSE,25-44,M,WHITE,<18,M,WHITE,682
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,"CONTROLLED SUBSTANCE, POSSESSION 7",25-44,M,WHITE,MISDEMEANOR,AGGRAVATED HARASSMENT 2,RESIDENCE-HOUSE,UNKNOWN,UNKNOWN,M,25-44,WHITE,M,,,,,,,,,683
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,Sedan,"STOLEN PROPERTY 2,1,POSSESSION,UNCLASSIFIED",25-44,M,WHITE,MISDEMEANOR,"MISCHIEF, CRIMINAL 4, OF MOTOR",STREET,UNKNOWN,UNKNOWN,U,45-64,WHITE HISPANIC,M,,,,,,,,,684
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,"INTOXICATED DRIVING,ALCOHOL",25-44,M,WHITE,FELONY,RECKLESS ENDANGERMENT 1,STREET,UNKNOWN,UNKNOWN,U,25-44,WHITE,F,,,,,,,,,685
Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,SPORT UTILITY / STATION WAGON,"CONTROLLED SUBSTANCE, POSSESSION 7",25-44,M,WHITE,FELONY,AGGRAVATED HARASSMENT 2,RESIDENCE-HOUSE,25-44,UNKNOWN,F,45-64,WHITE,F,,,,,,,,,686
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",25-44,M,WHITE,,,,,,,,,,,,,,,,,,687
Driver Inattention/Distraction,Sedan,Sedan,SPORT UTILITY / STATION WAGON,"CONTROLLED SUBSTANCE, POSSESSION 7",25-44,M,WHITE,FELONY,"LARCENY,GRAND BY IDENTITY THEFT-UNCLASSIFIED",RESIDENCE-HOUSE,(null),(null),(null),65+,WHITE,F,,,,,,,,,688
Driver Inattention/Distraction,Sedan,PASSENGER VEHICLE,PASSENGER VEHICLE,ASSAULT 3,18-24,M,WHITE,,,,,,,,,,,,,,,,,,689
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,Station Wagon/Sport Utility Vehicle,"INTOXICATED DRIVING,ALCOHOL",25-44,M,WHITE,,,,,,,,,,,,,,,,,,690
Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,"INTOXICATED DRIVING,ALCOHOL",25-44,M,WHITE,,,,,,,,,,,,,,,,,,691
Backing Unsafely,Sedan,Sedan,,"MARIJUANA, POSSESSION 1, 2 & 3",25-44,M,WHITE,,,,,,,,,,,,,,,,,,753
Driver Inattention/Distraction,Sedan,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,"LARCENY,PETIT FROM OPEN AREAS,",25-44,M,WHITE,,,,,,,,,,,,,,,,,,754
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,Station Wagon/Sport Utility Vehicle,"TRAFFIC,UNCLASSIFIED MISDEMEAN",25-44,M,WHITE,,,,,,,,,,,,,,,,,,755
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,Station Wagon/Sport Utility Vehicle,"CONTROLLED SUBSTANCE, POSSESSION 7",25-44,M,WHITE,FELONY,"LARCENY,GRAND FROM RETAIL STORE, UNATTENDED",RESIDENCE-HOUSE,25-44,WHITE,M,UNKNOWN,UNKNOWN,F,,,,,,,,,756
Driver Inattention/Distraction,Sedan,PASSENGER VEHICLE,Station Wagon/Sport Utility Vehicle,"CONTROLLED SUBSTANCE, POSSESSION 7",25-44,M,WHITE,,,,,,,,,,,,,,,,,,757
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,Station Wagon/Sport Utility Vehicle,"CONTROLLED SUBSTANCE, POSSESSION 7",25-44,M,WHITE,FELONY,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE-HOUSE,(null),(null),(null),25-44,WHITE,M,,,,,,,,,758
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,"CONTROLLED SUBSTANCE, POSSESSION 7",25-44,M,WHITE,,,,,,,,,,,,,,,,,,759
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,"CONTROLLED SUBSTANCE, POSSESSION 7",25-44,M,WHITE,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-REPRODUCED CHECK",RESIDENCE-HOUSE,(null),(null),(null),45-64,WHITE,M,,,,,,,,,760
Driver Inattention/Distraction,PASSENGER VEHICLE,Sedan,PASSENGER VEHICLE,"CONTROLLED SUBSTANCE, POSSESSION 7",25-44,M,WHITE,FELONY,"CONTROLLED SUBSTANCE,SALE 3",RESIDENCE-HOUSE,25-44,WHITE,F,45-64,WHITE,E,,,,,,,,,761
